Host,Контур,ПО,Версия
mdm30-kad-merge-zk01s,stage,Zk,3.9.4
mdm30-kad-merge-zk02p,prod,ETCD,3.4.13
mdm30-kad-merge-zk02s,stage,Zk,3.9.4
mdm30-kad-merge-zk03p,prod,ETCD,3.4.13
mdm30-kad-merge-zk03s,stage,Zk,3.9.4
mdm30-kad-merge-zk11p,prod,Zk,3.9.4
mdm30-kad-merge-zk12p,prod,Zk,3.9.4
mdm30-kad-merge-zk13p,prod,Zk,3.9.4
mdm30-kad-mfv-app01s,stage,Nginx,1.25.3.1
mdm30-kad-nsud-pg001p,prod_dc15,Keepalived,v1.3.5
mdm30-kad-nsud-pg001p,prod_dc15,PostgreSQL,15.1.0
mdm30-kad-nsud-pg002p,prod_dc15,Keepalived,v1.3.5
mdm30-kad-nsud-pg002p,prod_dc15,PostgreSQL,15.1.0
mdm30-kad-nsud-pg01s,stage,Keepalived,v1.3.5
mdm30-kad-nsud-pg01s,stage,PostgreSQL,15.1.0
mdm30-kad-nsud-pg02s,stage,Keepalived,v1.3.5
mdm30-kad-nsud-pg02s,stage,PostgreSQL,15.1.0
mdm30-kpd-gw-kkd-app01p,prod,Docker,26.1.4
mdm30-kpd-gw-kkd-app01s,stage,Docker,24.0.7
mdm30-kpd-gw-kkd-app02p,prod,Docker,26.1.4
mdm30-kpd-gw-kkd-app02s,stage,Docker,24.0.7
mdm30-kpd-gw-kkd-app03p,prod,Docker,26.1.4
mdm30-kpd-gw-kkd-app03s,stage,Docker,24.0.7
mdm30-kpd-kkd-app001p,prod_dc15,Docker,26.1.0-ce
mdm30-kpd-kkd-app002p,prod_dc15,Docker,26.1.0-ce
mdm30-kpd-kkd-app003p,prod_dc15,Docker,26.1.0-ce
mdm30-kpd-kkd-app01s,stage,Docker,26.1.5-ce
mdm30-kpd-kkd-app02s,stage,Docker,26.1.5-ce
mdm30-kpd-kkd-app03s,stage,Docker,26.1.5-ce
mdm30-kpd-registry-app001s,stage,Docker,26.1.5-ce
mdm30-kri-es21p,prod,Elasticsearch,6.8.22
mdm30-kri-es21s,stage,Elasticsearch,6.8.22
mdm30-kri-es22p,prod,Elasticsearch,6.8.22
mdm30-kri-lb21p,prod,Keepalived,v1.3.5
mdm30-kri-lb21p,prod,Nginx,1.27.1.2
mdm30-kri-lb21s,stage,Keepalived,v1.3.5
mdm30-kri-lb21s,stage,Nginx,1.27.1.2
mdm30-kri-lb22p,prod,Keepalived,v1.3.5
mdm30-kri-lb22p,prod,Nginx,1.27.1.2
mdm30-kri-links-app001p,prod_dc15,ETCD,3.4.13
mdm30-kri-links-app002p,prod_dc15,ETCD,3.4.13
mdm30-kri-links-app003p,prod_dc15,ETCD,3.4.13
mdm30-kri-links-app01p,prod,Docker,28.2.2-ce
mdm30-kri-links-app01s,stage,Docker,28.2.2-ce
mdm30-kri-links-app02p,prod,Docker,28.2.2-ce
mdm30-kri-links-app03p,prod,Docker,28.2.2-ce
mdm30-kri-links-db01s,stage,PostgreSQL,18.2.0
mdm30-kri-links-lb001p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-links-lb001p,prod_dc15,Nginx,1.27.1.2
mdm30-kri-links-lb002p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-links-lb002p,prod_dc15,Nginx,1.27.1.2
mdm30-kri-links-pg001p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-links-pg001p,prod_dc15,PostgreSQL,11.22.0
mdm30-kri-links-pg002p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-links-rmq001p,prod_dc15,Keepalived,v1.3.5
mdm30-kri-links-rmq001p,prod_dc15,RabbitMQ,3.8.3
